brand_query,scraped_at,started_on,ad_text,media_type,message_theme,source_url,mosaic_brand,competitor_brand
Ustraa,2026-03-05T12:25:00Z,10-01-2026,Beard Growth Kit for better results. education angle with creator demo. Shop now.,carousel,education,https://www.facebook.com/ads/library/,Man Matters,Ustraa
Cetaphil Baby,2026-03-05T12:26:00Z,12-01-2026,Baby Lotion for better results. urgency angle with creator demo. Learn more.,static,urgency,https://www.facebook.com/ads/library/,Little Joys,Cetaphil Baby
mCaffeine,2026-03-05T12:27:00Z,14-01-2026,Vitamin C Face Wash for better results. offer promo angle with creator demo. Buy now.,video,offer_promo,https://www.facebook.com/ads/library/,Bebodywise,mCaffeine
Beardo,2026-03-05T12:28:00Z,16-01-2026,Performance Support for better results. problem solution angle with creator demo. Try today.,carousel,problem_solution,https://www.facebook.com/ads/library/,Man Matters,Beardo
The Moms Co,2026-03-05T12:29:00Z,18-01-2026,Massage Oil for better results. social proof angle with creator demo. Limited offer.,static,social_proof,https://www.facebook.com/ads/library/,Little Joys,The Moms Co
Plum Goodness,2026-03-05T12:30:00Z,20-01-2026,Acne Serum for better results. education angle with creator demo. Shop now.,video,education,https://www.facebook.com/ads/library/,Bebodywise,Plum Goodness
Bold Care,2026-03-05T12:31:00Z,22-01-2026,Hair Fall Plan for better results. urgency angle with creator demo. Learn more.,carousel,urgency,https://www.facebook.com/ads/library/,Man Matters,Bold Care
Mamaearth Baby,2026-03-05T12:32:00Z,24-01-2026,Diaper Rash Cream for better results. offer promo angle with creator demo. Buy now.,static,offer_promo,https://www.facebook.com/ads/library/,Little Joys,Mamaearth Baby
The Derma Co,2026-03-05T12:33:00Z,26-01-2026,Niacinamide Moisturizer for better results. problem solution angle with creator demo. Try today.,video,problem_solution,https://www.facebook.com/ads/library/,Bebodywise,The Derma Co
Traya Health,2026-03-05T12:34:00Z,28-01-2026,Anti-Dandruff Shampoo for better results. social proof angle with creator demo. Limited offer.,carousel,social_proof,https://www.facebook.com/ads/library/,Man Matters,Traya Health
Sebamed Baby India,2026-03-05T12:35:00Z,30-01-2026,Baby Wash for better results. education angle with creator demo. Shop now.,static,education,https://www.facebook.com/ads/library/,Little Joys,Sebamed Baby India
Minimalist,2026-03-05T12:36:00Z,01-02-2026,Hair Growth Serum for better results. urgency angle with creator demo. Learn more.,video,urgency,https://www.facebook.com/ads/library/,Bebodywise,Minimalist
Ustraa,2026-03-05T12:37:00Z,03-02-2026,Grooming Combo for better results. offer promo angle with creator demo. Buy now.,carousel,offer_promo,https://www.facebook.com/ads/library/,Man Matters,Ustraa
Cetaphil Baby,2026-03-05T12:38:00Z,05-02-2026,Baby Shampoo for better results. problem solution angle with creator demo. Try today.,static,problem_solution,https://www.facebook.com/ads/library/,Little Joys,Cetaphil Baby
mCaffeine,2026-03-05T12:39:00Z,07-02-2026,Sunscreen Gel for better results. social proof angle with creator demo. Limited offer.,video,social_proof,https://www.facebook.com/ads/library/,Bebodywise,mCaffeine
Beardo,2026-03-05T12:40:00Z,09-02-2026,Beard Growth Kit for better results. education angle with creator demo. Shop now.,carousel,education,https://www.facebook.com/ads/library/,Man Matters,Beardo
The Moms Co,2026-03-05T12:41:00Z,11-02-2026,Baby Lotion for better results. urgency angle with creator demo. Learn more.,static,urgency,https://www.facebook.com/ads/library/,Little Joys,The Moms Co
Plum Goodness,2026-03-05T12:42:00Z,13-02-2026,Vitamin C Face Wash for better results. offer promo angle with creator demo. Buy now.,video,offer_promo,https://www.facebook.com/ads/library/,Bebodywise,Plum Goodness
Bold Care,2026-03-05T12:43:00Z,15-02-2026,Performance Support for better results. problem solution angle with creator demo. Try today.,carousel,problem_solution,https://www.facebook.com/ads/library/,Man Matters,Bold Care
Mamaearth Baby,2026-03-05T12:44:00Z,17-02-2026,Massage Oil for better results. social proof angle with creator demo. Limited offer.,static,social_proof,https://www.facebook.com/ads/library/,Little Joys,Mamaearth Baby
The Derma Co,2026-03-05T12:45:00Z,01-11-2025,Acne Serum for better results. education angle with creator demo. Shop now.,video,education,https://www.facebook.com/ads/library/,Bebodywise,The Derma Co
Traya Health,2026-03-05T12:46:00Z,03-11-2025,Hair Fall Plan for better results. urgency angle with creator demo. Learn more.,carousel,urgency,https://www.facebook.com/ads/library/,Man Matters,Traya Health
Sebamed Baby India,2026-03-05T12:47:00Z,05-11-2025,Diaper Rash Cream for better results. offer promo angle with creator demo. Buy now.,static,offer_promo,https://www.facebook.com/ads/library/,Little Joys,Sebamed Baby India
Minimalist,2026-03-05T12:48:00Z,07-11-2025,Niacinamide Moisturizer for better results. problem solution angle with creator demo. Try today.,video,problem_solution,https://www.facebook.com/ads/library/,Bebodywise,Minimalist
Ustraa,2026-03-05T12:49:00Z,09-11-2025,Anti-Dandruff Shampoo for better results. social proof angle with creator demo. Limited offer.,carousel,social_proof,https://www.facebook.com/ads/library/,Man Matters,Ustraa
Cetaphil Baby,2026-03-05T12:50:00Z,11-11-2025,Baby Wash for better results. education angle with creator demo. Shop now.,static,education,https://www.facebook.com/ads/library/,Little Joys,Cetaphil Baby
mCaffeine,2026-03-05T12:51:00Z,13-11-2025,Hair Growth Serum for better results. urgency angle with creator demo. Learn more.,video,urgency,https://www.facebook.com/ads/library/,Bebodywise,mCaffeine
Beardo,2026-03-05T12:52:00Z,15-11-2025,Grooming Combo for better results. offer promo angle with creator demo. Buy now.,carousel,offer_promo,https://www.facebook.com/ads/library/,Man Matters,Beardo
The Moms Co,2026-03-05T12:53:00Z,17-11-2025,Baby Shampoo for better results. problem solution angle with creator demo. Try today.,static,problem_solution,https://www.facebook.com/ads/library/,Little Joys,The Moms Co
Plum Goodness,2026-03-05T12:54:00Z,19-11-2025,Sunscreen Gel for better results. social proof angle with creator demo. Limited offer.,video,social_proof,https://www.facebook.com/ads/library/,Bebodywise,Plum Goodness
Bold Care,2026-03-05T12:55:00Z,21-11-2025,Beard Growth Kit for better results. education angle with creator demo. Shop now.,carousel,education,https://www.facebook.com/ads/library/,Man Matters,Bold Care
Mamaearth Baby,2026-03-05T12:56:00Z,23-11-2025,Baby Lotion for better results. urgency angle with creator demo. Learn more.,static,urgency,https://www.facebook.com/ads/library/,Little Joys,Mamaearth Baby
The Derma Co,2026-03-05T12:57:00Z,25-11-2025,Vitamin C Face Wash for better results. offer promo angle with creator demo. Buy now.,video,offer_promo,https://www.facebook.com/ads/library/,Bebodywise,The Derma Co
Traya Health,2026-03-05T12:58:00Z,27-11-2025,Performance Support for better results. problem solution angle with creator demo. Try today.,carousel,problem_solution,https://www.facebook.com/ads/library/,Man Matters,Traya Health
Sebamed Baby India,2026-03-05T12:59:00Z,29-11-2025,Massage Oil for better results. social proof angle with creator demo. Limited offer.,static,social_proof,https://www.facebook.com/ads/library/,Little Joys,Sebamed Baby India
Minimalist,2026-03-05T13:00:00Z,01-12-2025,Acne Serum for better results. education angle with creator demo. Shop now.,video,education,https://www.facebook.com/ads/library/,Bebodywise,Minimalist
Ustraa,2026-03-05T13:01:00Z,03-12-2025,Hair Fall Plan for better results. urgency angle with creator demo. Learn more.,carousel,urgency,https://www.facebook.com/ads/library/,Man Matters,Ustraa
Cetaphil Baby,2026-03-05T13:02:00Z,05-12-2025,Diaper Rash Cream for better results. offer promo angle with creator demo. Buy now.,static,offer_promo,https://www.facebook.com/ads/library/,Little Joys,Cetaphil Baby
mCaffeine,2026-03-05T13:03:00Z,07-12-2025,Niacinamide Moisturizer for better results. problem solution angle with creator demo. Try today.,video,problem_solution,https://www.facebook.com/ads/library/,Bebodywise,mCaffeine
Beardo,2026-03-05T13:04:00Z,09-12-2025,Anti-Dandruff Shampoo for better results. social proof angle with creator demo. Limited offer.,carousel,social_proof,https://www.facebook.com/ads/library/,Man Matters,Beardo
The Moms Co,2026-03-05T13:05:00Z,11-12-2025,Baby Wash for better results. education angle with creator demo. Shop now.,static,education,https://www.facebook.com/ads/library/,Little Joys,The Moms Co
Plum Goodness,2026-03-05T13:06:00Z,13-12-2025,Hair Growth Serum for better results. urgency angle with creator demo. Learn more.,video,urgency,https://www.facebook.com/ads/library/,Bebodywise,Plum Goodness
Bold Care,2026-03-05T13:07:00Z,15-12-2025,Grooming Combo for better results. offer promo angle with creator demo. Buy now.,carousel,offer_promo,https://www.facebook.com/ads/library/,Man Matters,Bold Care
Mamaearth Baby,2026-03-05T13:08:00Z,17-12-2025,Baby Shampoo for better results. problem solution angle with creator demo. Try today.,static,problem_solution,https://www.facebook.com/ads/library/,Little Joys,Mamaearth Baby
The Derma Co,2026-03-05T13:09:00Z,19-12-2025,Sunscreen Gel for better results. social proof angle with creator demo. Limited offer.,video,social_proof,https://www.facebook.com/ads/library/,Bebodywise,The Derma Co
Traya Health,2026-03-05T13:10:00Z,21-12-2025,Beard Growth Kit for better results. education angle with creator demo. Shop now.,carousel,education,https://www.facebook.com/ads/library/,Man Matters,Traya Health
Sebamed Baby India,2026-03-05T13:11:00Z,23-12-2025,Baby Lotion for better results. urgency angle with creator demo. Learn more.,static,urgency,https://www.facebook.com/ads/library/,Little Joys,Sebamed Baby India
Minimalist,2026-03-05T13:12:00Z,25-12-2025,Vitamin C Face Wash for better results. offer promo angle with creator demo. Buy now.,video,offer_promo,https://www.facebook.com/ads/library/,Bebodywise,Minimalist
Ustraa,2026-03-05T13:13:00Z,27-12-2025,Performance Support for better results. problem solution angle with creator demo. Try today.,carousel,problem_solution,https://www.facebook.com/ads/library/,Man Matters,Ustraa
Cetaphil Baby,2026-03-05T13:14:00Z,29-12-2025,Massage Oil for better results. social proof angle with creator demo. Limited offer.,static,social_proof,https://www.facebook.com/ads/library/,Little Joys,Cetaphil Baby
mCaffeine,2026-03-05T13:15:00Z,31-12-2025,Acne Serum for better results. education angle with creator demo. Shop now.,video,education,https://www.facebook.com/ads/library/,Bebodywise,mCaffeine
Beardo,2026-03-05T13:16:00Z,02-01-2026,Hair Fall Plan for better results. urgency angle with creator demo. Learn more.,carousel,urgency,https://www.facebook.com/ads/library/,Man Matters,Beardo
The Moms Co,2026-03-05T13:17:00Z,04-01-2026,Diaper Rash Cream for better results. offer promo angle with creator demo. Buy now.,static,offer_promo,https://www.facebook.com/ads/library/,Little Joys,The Moms Co
Plum Goodness,2026-03-05T13:18:00Z,06-01-2026,Niacinamide Moisturizer for better results. problem solution angle with creator demo. Try today.,video,problem_solution,https://www.facebook.com/ads/library/,Bebodywise,Plum Goodness
Bold Care,2026-03-05T13:19:00Z,08-01-2026,Anti-Dandruff Shampoo for better results. social proof angle with creator demo. Limited offer.,carousel,social_proof,https://www.facebook.com/ads/library/,Man Matters,Bold Care
Mamaearth Baby,2026-03-05T13:20:00Z,10-01-2026,Baby Wash for better results. education angle with creator demo. Shop now.,static,education,https://www.facebook.com/ads/library/,Little Joys,Mamaearth Baby
The Derma Co,2026-03-05T13:21:00Z,12-01-2026,Hair Growth Serum for better results. urgency angle with creator demo. Learn more.,video,urgency,https://www.facebook.com/ads/library/,Bebodywise,The Derma Co
Traya Health,2026-03-05T13:22:00Z,14-01-2026,Grooming Combo for better results. offer promo angle with creator demo. Buy now.,carousel,offer_promo,https://www.facebook.com/ads/library/,Man Matters,Traya Health
Sebamed Baby India,2026-03-05T13:23:00Z,16-01-2026,Baby Shampoo for better results. problem solution angle with creator demo. Try today.,static,problem_solution,https://www.facebook.com/ads/library/,Little Joys,Sebamed Baby India
Minimalist,2026-03-05T13:24:00Z,18-01-2026,Sunscreen Gel for better results. social proof angle with creator demo. Limited offer.,video,social_proof,https://www.facebook.com/ads/library/,Bebodywise,Minimalist
Ustraa,2026-03-05T13:25:00Z,20-01-2026,Beard Growth Kit for better results. education angle with creator demo. Shop now.,carousel,education,https://www.facebook.com/ads/library/,Man Matters,Ustraa
Cetaphil Baby,2026-03-05T13:26:00Z,22-01-2026,Baby Lotion for better results. urgency angle with creator demo. Learn more.,static,urgency,https://www.facebook.com/ads/library/,Little Joys,Cetaphil Baby
mCaffeine,2026-03-05T13:27:00Z,24-01-2026,Vitamin C Face Wash for better results. offer promo angle with creator demo. Buy now.,video,offer_promo,https://www.facebook.com/ads/library/,Bebodywise,mCaffeine
Beardo,2026-03-05T13:28:00Z,26-01-2026,Performance Support for better results. problem solution angle with creator demo. Try today.,carousel,problem_solution,https://www.facebook.com/ads/library/,Man Matters,Beardo
The Moms Co,2026-03-05T13:29:00Z,28-01-2026,Massage Oil for better results. social proof angle with creator demo. Limited offer.,static,social_proof,https://www.facebook.com/ads/library/,Little Joys,The Moms Co
Plum Goodness,2026-03-05T13:30:00Z,30-01-2026,Acne Serum for better results. education angle with creator demo. Shop now.,video,education,https://www.facebook.com/ads/library/,Bebodywise,Plum Goodness
Bold Care,2026-03-05T13:31:00Z,01-02-2026,Hair Fall Plan for better results. urgency angle with creator demo. Learn more.,carousel,urgency,https://www.facebook.com/ads/library/,Man Matters,Bold Care
Mamaearth Baby,2026-03-05T13:32:00Z,03-02-2026,Diaper Rash Cream for better results. offer promo angle with creator demo. Buy now.,static,offer_promo,https://www.facebook.com/ads/library/,Little Joys,Mamaearth Baby
The Derma Co,2026-03-05T13:33:00Z,05-02-2026,Niacinamide Moisturizer for better results. problem solution angle with creator demo. Try today.,video,problem_solution,https://www.facebook.com/ads/library/,Bebodywise,The Derma Co
Traya Health,2026-03-05T13:34:00Z,07-02-2026,Anti-Dandruff Shampoo for better results. social proof angle with creator demo. Limited offer.,carousel,social_proof,https://www.facebook.com/ads/library/,Man Matters,Traya Health
Sebamed Baby India,2026-03-05T13:35:00Z,09-02-2026,Baby Wash for better results. education angle with creator demo. Shop now.,static,education,https://www.facebook.com/ads/library/,Little Joys,Sebamed Baby India
Minimalist,2026-03-05T13:36:00Z,11-02-2026,Hair Growth Serum for better results. urgency angle with creator demo. Learn more.,video,urgency,https://www.facebook.com/ads/library/,Bebodywise,Minimalist
Ustraa,2026-03-05T13:37:00Z,13-02-2026,Grooming Combo for better results. offer promo angle with creator demo. Buy now.,carousel,offer_promo,https://www.facebook.com/ads/library/,Man Matters,Ustraa
Cetaphil Baby,2026-03-05T13:38:00Z,15-02-2026,Baby Shampoo for better results. problem solution angle with creator demo. Try today.,static,problem_solution,https://www.facebook.com/ads/library/,Little Joys,Cetaphil Baby
mCaffeine,2026-03-05T13:39:00Z,17-02-2026,Sunscreen Gel for better results. social proof angle with creator demo. Limited offer.,video,social_proof,https://www.facebook.com/ads/library/,Bebodywise,mCaffeine
Beardo,2026-03-05T13:40:00Z,01-11-2025,Beard Growth Kit for better results. education angle with creator demo. Shop now.,carousel,education,https://www.facebook.com/ads/library/,Man Matters,Beardo
The Moms Co,2026-03-05T13:41:00Z,03-11-2025,Baby Lotion for better results. urgency angle with creator demo. Learn more.,static,urgency,https://www.facebook.com/ads/library/,Little Joys,The Moms Co
Plum Goodness,2026-03-05T13:42:00Z,05-11-2025,Vitamin C Face Wash for better results. offer promo angle with creator demo. Buy now.,video,offer_promo,https://www.facebook.com/ads/library/,Bebodywise,Plum Goodness
Bold Care,2026-03-05T13:43:00Z,07-11-2025,Performance Support for better results. problem solution angle with creator demo. Try today.,carousel,problem_solution,https://www.facebook.com/ads/library/,Man Matters,Bold Care
Mamaearth Baby,2026-03-05T13:44:00Z,09-11-2025,Massage Oil for better results. social proof angle with creator demo. Limited offer.,static,social_proof,https://www.facebook.com/ads/library/,Little Joys,Mamaearth Baby
The Derma Co,2026-03-05T13:45:00Z,11-11-2025,Acne Serum for better results. education angle with creator demo. Shop now.,video,education,https://www.facebook.com/ads/library/,Bebodywise,The Derma Co
Traya Health,2026-03-05T13:46:00Z,13-11-2025,Hair Fall Plan for better results. urgency angle with creator demo. Learn more.,carousel,urgency,https://www.facebook.com/ads/library/,Man Matters,Traya Health
Sebamed Baby India,2026-03-05T13:47:00Z,15-11-2025,Diaper Rash Cream for better results. offer promo angle with creator demo. Buy now.,static,offer_promo,https://www.facebook.com/ads/library/,Little Joys,Sebamed Baby India
Minimalist,2026-03-05T13:48:00Z,17-11-2025,Niacinamide Moisturizer for better results. problem solution angle with creator demo. Try today.,video,problem_solution,https://www.facebook.com/ads/library/,Bebodywise,Minimalist
Ustraa,2026-03-05T13:49:00Z,19-11-2025,Anti-Dandruff Shampoo for better results. social proof angle with creator demo. Limited offer.,carousel,social_proof,https://www.facebook.com/ads/library/,Man Matters,Ustraa
Cetaphil Baby,2026-03-05T13:50:00Z,21-11-2025,Baby Wash for better results. education angle with creator demo. Shop now.,static,education,https://www.facebook.com/ads/library/,Little Joys,Cetaphil Baby
mCaffeine,2026-03-05T13:51:00Z,23-11-2025,Hair Growth Serum for better results. urgency angle with creator demo. Learn more.,video,urgency,https://www.facebook.com/ads/library/,Bebodywise,mCaffeine
Beardo,2026-03-05T13:52:00Z,25-11-2025,Grooming Combo for better results. offer promo angle with creator demo. Buy now.,carousel,offer_promo,https://www.facebook.com/ads/library/,Man Matters,Beardo
The Moms Co,2026-03-05T13:53:00Z,27-11-2025,Baby Shampoo for better results. problem solution angle with creator demo. Try today.,static,problem_solution,https://www.facebook.com/ads/library/,Little Joys,The Moms Co
Plum Goodness,2026-03-05T13:54:00Z,29-11-2025,Sunscreen Gel for better results. social proof angle with creator demo. Limited offer.,video,social_proof,https://www.facebook.com/ads/library/,Bebodywise,Plum Goodness
Bold Care,2026-03-05T13:55:00Z,01-12-2025,Beard Growth Kit for better results. education angle with creator demo. Shop now.,carousel,education,https://www.facebook.com/ads/library/,Man Matters,Bold Care
Mamaearth Baby,2026-03-05T13:56:00Z,03-12-2025,Baby Lotion for better results. urgency angle with creator demo. Learn more.,static,urgency,https://www.facebook.com/ads/library/,Little Joys,Mamaearth Baby
The Derma Co,2026-03-05T13:57:00Z,05-12-2025,Vitamin C Face Wash for better results. offer promo angle with creator demo. Buy now.,video,offer_promo,https://www.facebook.com/ads/library/,Bebodywise,The Derma Co
Traya Health,2026-03-05T13:58:00Z,07-12-2025,Performance Support for better results. problem solution angle with creator demo. Try today.,carousel,problem_solution,https://www.facebook.com/ads/library/,Man Matters,Traya Health
Sebamed Baby India,2026-03-05T13:59:00Z,09-12-2025,Massage Oil for better results. social proof angle with creator demo. Limited offer.,static,social_proof,https://www.facebook.com/ads/library/,Little Joys,Sebamed Baby India
Minimalist,2026-03-05T14:00:00Z,11-12-2025,Acne Serum for better results. education angle with creator demo. Shop now.,video,education,https://www.facebook.com/ads/library/,Bebodywise,Minimalist
Ustraa,2026-03-05T14:01:00Z,13-12-2025,Hair Fall Plan for better results. urgency angle with creator demo. Learn more.,carousel,urgency,https://www.facebook.com/ads/library/,Man Matters,Ustraa
Cetaphil Baby,2026-03-05T14:02:00Z,15-12-2025,Diaper Rash Cream for better results. offer promo angle with creator demo. Buy now.,static,offer_promo,https://www.facebook.com/ads/library/,Little Joys,Cetaphil Baby
mCaffeine,2026-03-05T14:03:00Z,17-12-2025,Niacinamide Moisturizer for better results. problem solution angle with creator demo. Try today.,video,problem_solution,https://www.facebook.com/ads/library/,Bebodywise,mCaffeine
Beardo,2026-03-05T14:04:00Z,19-12-2025,Anti-Dandruff Shampoo for better results. social proof angle with creator demo. Limited offer.,carousel,social_proof,https://www.facebook.com/ads/library/,Man Matters,Beardo
The Moms Co,2026-03-05T14:05:00Z,21-12-2025,Baby Wash for better results. education angle with creator demo. Shop now.,static,education,https://www.facebook.com/ads/library/,Little Joys,The Moms Co
Plum Goodness,2026-03-05T14:06:00Z,23-12-2025,Hair Growth Serum for better results. urgency angle with creator demo. Learn more.,video,urgency,https://www.facebook.com/ads/library/,Bebodywise,Plum Goodness
Bold Care,2026-03-05T14:07:00Z,25-12-2025,Grooming Combo for better results. offer promo angle with creator demo. Buy now.,carousel,offer_promo,https://www.facebook.com/ads/library/,Man Matters,Bold Care
Mamaearth Baby,2026-03-05T14:08:00Z,27-12-2025,Baby Shampoo for better results. problem solution angle with creator demo. Try today.,static,problem_solution,https://www.facebook.com/ads/library/,Little Joys,Mamaearth Baby
The Derma Co,2026-03-05T14:09:00Z,29-12-2025,Sunscreen Gel for better results. social proof angle with creator demo. Limited offer.,video,social_proof,https://www.facebook.com/ads/library/,Bebodywise,The Derma Co
Traya Health,2026-03-05T14:10:00Z,31-12-2025,Beard Growth Kit for better results. education angle with creator demo. Shop now.,carousel,education,https://www.facebook.com/ads/library/,Man Matters,Traya Health
Sebamed Baby India,2026-03-05T14:11:00Z,02-01-2026,Baby Lotion for better results. urgency angle with creator demo. Learn more.,static,urgency,https://www.facebook.com/ads/library/,Little Joys,Sebamed Baby India
Minimalist,2026-03-05T14:12:00Z,04-01-2026,Vitamin C Face Wash for better results. offer promo angle with creator demo. Buy now.,video,offer_promo,https://www.facebook.com/ads/library/,Bebodywise,Minimalist
Ustraa,2026-03-05T14:13:00Z,06-01-2026,Performance Support for better results. problem solution angle with creator demo. Try today.,carousel,problem_solution,https://www.facebook.com/ads/library/,Man Matters,Ustraa
Cetaphil Baby,2026-03-05T14:14:00Z,08-01-2026,Massage Oil for better results. social proof angle with creator demo. Limited offer.,static,social_proof,https://www.facebook.com/ads/library/,Little Joys,Cetaphil Baby
mCaffeine,2026-03-05T14:15:00Z,10-01-2026,Acne Serum for better results. education angle with creator demo. Shop now.,video,education,https://www.facebook.com/ads/library/,Bebodywise,mCaffeine
Beardo,2026-03-05T14:16:00Z,12-01-2026,Hair Fall Plan for better results. urgency angle with creator demo. Learn more.,carousel,urgency,https://www.facebook.com/ads/library/,Man Matters,Beardo
The Moms Co,2026-03-05T14:17:00Z,14-01-2026,Diaper Rash Cream for better results. offer promo angle with creator demo. Buy now.,static,offer_promo,https://www.facebook.com/ads/library/,Little Joys,The Moms Co
Plum Goodness,2026-03-05T14:18:00Z,16-01-2026,Niacinamide Moisturizer for better results. problem solution angle with creator demo. Try today.,video,problem_solution,https://www.facebook.com/ads/library/,Bebodywise,Plum Goodness
Bold Care,2026-03-05T14:19:00Z,18-01-2026,Anti-Dandruff Shampoo for better results. social proof angle with creator demo. Limited offer.,carousel,social_proof,https://www.facebook.com/ads/library/,Man Matters,Bold Care
Mamaearth Baby,2026-03-05T14:20:00Z,20-01-2026,Baby Wash for better results. education angle with creator demo. Shop now.,static,education,https://www.facebook.com/ads/library/,Little Joys,Mamaearth Baby
The Derma Co,2026-03-05T14:21:00Z,22-01-2026,Hair Growth Serum for better results. urgency angle with creator demo. Learn more.,video,urgency,https://www.facebook.com/ads/library/,Bebodywise,The Derma Co
Traya Health,2026-03-05T14:22:00Z,24-01-2026,Grooming Combo for better results. offer promo angle with creator demo. Buy now.,carousel,offer_promo,https://www.facebook.com/ads/library/,Man Matters,Traya Health
Sebamed Baby India,2026-03-05T14:23:00Z,26-01-2026,Baby Shampoo for better results. problem solution angle with creator demo. Try today.,static,problem_solution,https://www.facebook.com/ads/library/,Little Joys,Sebamed Baby India
Minimalist,2026-03-05T14:24:00Z,28-01-2026,Sunscreen Gel for better results. social proof angle with creator demo. Limited offer.,video,social_proof,https://www.facebook.com/ads/library/,Bebodywise,Minimalist
Ustraa,2026-03-05T14:25:00Z,30-01-2026,Beard Growth Kit for better results. education angle with creator demo. Shop now.,carousel,education,https://www.facebook.com/ads/library/,Man Matters,Ustraa
Cetaphil Baby,2026-03-05T14:26:00Z,01-02-2026,Baby Lotion for better results. urgency angle with creator demo. Learn more.,static,urgency,https://www.facebook.com/ads/library/,Little Joys,Cetaphil Baby
mCaffeine,2026-03-05T14:27:00Z,03-02-2026,Vitamin C Face Wash for better results. offer promo angle with creator demo. Buy now.,video,offer_promo,https://www.facebook.com/ads/library/,Bebodywise,mCaffeine
Beardo,2026-03-05T14:28:00Z,05-02-2026,Performance Support for better results. problem solution angle with creator demo. Try today.,carousel,problem_solution,https://www.facebook.com/ads/library/,Man Matters,Beardo
The Moms Co,2026-03-05T14:29:00Z,07-02-2026,Massage Oil for better results. social proof angle with creator demo. Limited offer.,static,social_proof,https://www.facebook.com/ads/library/,Little Joys,The Moms Co
Plum Goodness,2026-03-05T14:30:00Z,09-02-2026,Acne Serum for better results. education angle with creator demo. Shop now.,video,education,https://www.facebook.com/ads/library/,Bebodywise,Plum Goodness
Bold Care,2026-03-05T14:31:00Z,11-02-2026,Hair Fall Plan for better results. urgency angle with creator demo. Learn more.,carousel,urgency,https://www.facebook.com/ads/library/,Man Matters,Bold Care
Mamaearth Baby,2026-03-05T14:32:00Z,13-02-2026,Diaper Rash Cream for better results. offer promo angle with creator demo. Buy now.,static,offer_promo,https://www.facebook.com/ads/library/,Little Joys,Mamaearth Baby
The Derma Co,2026-03-05T14:33:00Z,15-02-2026,Niacinamide Moisturizer for better results. problem solution angle with creator demo. Try today.,video,problem_solution,https://www.facebook.com/ads/library/,Bebodywise,The Derma Co
Traya Health,2026-03-05T14:34:00Z,17-02-2026,Anti-Dandruff Shampoo for better results. social proof angle with creator demo. Limited offer.,carousel,social_proof,https://www.facebook.com/ads/library/,Man Matters,Traya Health
Sebamed Baby India,2026-03-05T14:35:00Z,01-11-2025,Baby Wash for better results. education angle with creator demo. Shop now.,static,education,https://www.facebook.com/ads/library/,Little Joys,Sebamed Baby India
Minimalist,2026-03-05T14:36:00Z,03-11-2025,Hair Growth Serum for better results. urgency angle with creator demo. Learn more.,video,urgency,https://www.facebook.com/ads/library/,Bebodywise,Minimalist
Ustraa,2026-03-05T14:37:00Z,05-11-2025,Grooming Combo for better results. offer promo angle with creator demo. Buy now.,carousel,offer_promo,https://www.facebook.com/ads/library/,Man Matters,Ustraa
Cetaphil Baby,2026-03-05T14:38:00Z,07-11-2025,Baby Shampoo for better results. problem solution angle with creator demo. Try today.,static,problem_solution,https://www.facebook.com/ads/library/,Little Joys,Cetaphil Baby
mCaffeine,2026-03-05T14:39:00Z,09-11-2025,Sunscreen Gel for better results. social proof angle with creator demo. Limited offer.,video,social_proof,https://www.facebook.com/ads/library/,Bebodywise,mCaffeine
Beardo,2026-03-05T14:40:00Z,11-11-2025,Beard Growth Kit for better results. education angle with creator demo. Shop now.,carousel,education,https://www.facebook.com/ads/library/,Man Matters,Beardo
The Moms Co,2026-03-05T14:41:00Z,13-11-2025,Baby Lotion for better results. urgency angle with creator demo. Learn more.,static,urgency,https://www.facebook.com/ads/library/,Little Joys,The Moms Co
Plum Goodness,2026-03-05T14:42:00Z,15-11-2025,Vitamin C Face Wash for better results. offer promo angle with creator demo. Buy now.,video,offer_promo,https://www.facebook.com/ads/library/,Bebodywise,Plum Goodness
Bold Care,2026-03-05T14:43:00Z,17-11-2025,Performance Support for better results. problem solution angle with creator demo. Try today.,carousel,problem_solution,https://www.facebook.com/ads/library/,Man Matters,Bold Care
Mamaearth Baby,2026-03-05T14:44:00Z,19-11-2025,Massage Oil for better results. social proof angle with creator demo. Limited offer.,static,social_proof,https://www.facebook.com/ads/library/,Little Joys,Mamaearth Baby
The Derma Co,2026-03-05T14:45:00Z,21-11-2025,Acne Serum for better results. education angle with creator demo. Shop now.,video,education,https://www.facebook.com/ads/library/,Bebodywise,The Derma Co
Traya Health,2026-03-05T14:46:00Z,23-11-2025,Hair Fall Plan for better results. urgency angle with creator demo. Learn more.,carousel,urgency,https://www.facebook.com/ads/library/,Man Matters,Traya Health
Sebamed Baby India,2026-03-05T14:47:00Z,25-11-2025,Diaper Rash Cream for better results. offer promo angle with creator demo. Buy now.,static,offer_promo,https://www.facebook.com/ads/library/,Little Joys,Sebamed Baby India
Minimalist,2026-03-05T14:48:00Z,27-11-2025,Niacinamide Moisturizer for better results. problem solution angle with creator demo. Try today.,video,problem_solution,https://www.facebook.com/ads/library/,Bebodywise,Minimalist
Ustraa,2026-03-05T14:49:00Z,29-11-2025,Anti-Dandruff Shampoo for better results. social proof angle with creator demo. Limited offer.,carousel,social_proof,https://www.facebook.com/ads/library/,Man Matters,Ustraa
